ProbeID	PrimaryAccession	RefSeqAccession	GenbankAccession	UniGeneID	EntrezGeneID	GeneSymbol	GeneName	EnsemblID	TIGRID	GO	Description	GenomicCoordinates	Cytoband
A_23_P112296	NM_000787	NM_000787	NM_000787	Hs.591890	1621	DBH	dopamine beta-hydroxylase (dopamine beta-monooxygenase)	ENST00000263611	THC2471355	GO:0001816(cytokine production)|GO:0001974(blood vessel remodeling)|GO:0001975(response to amphetamine)|GO:0004497(monooxygenase activity)|GO:0004500(dopamine beta-monooxygenase activity)|GO:0005507(copper ion binding)|GO:0005576(extracellular region)|GO:0005624(membrane fraction)|GO:0005625(soluble fraction)|GO:0005737(cytoplasm)|GO:0006548(histidine catabolic process)|GO:0007268(synaptic transmission)|GO:0007613(memory)|GO:0007626(locomotory behavior)|GO:0008306(associative learning)|GO:0008542(visual learning)|GO:0016020(membrane)|GO:0031418(L-ascorbic acid binding)|GO:0042127(regulation of cell proliferation)|GO:0042309(homoiothermy)|GO:0042420(dopamine catabolic process)|GO:0042421(norepinephrine biosynthetic process)|GO:0042583(chromaffin granule)|GO:0042593(glucose homeostasis)|GO:0042596(fear response)|GO:0042711(maternal behavior)|GO:0042981(regulation of apoptosis)|GO:0045907(positive regulation of vasoconstriction)|GO:0046872(metal ion binding)|GO:0048149(behavioral response to ethanol)|GO:0048265(response to pain)|GO:0050900(leukocyte migration)	"Homo sapiens dopamine beta-hydroxylase (dopamine beta-monooxygenase) (DBH), mRNA [NM_000787]"	chr9:135513940-135513999	hs|9q34.2
A_23_P112311	NM_012210	NM_012210	NM_012210	Hs.591910	22954	TRIM32	tripartite motif-containing 32	ENST00000373983	THC2463385	GO:0003713(transcription coactivator activity)|GO:0005515(protein binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006512(ubiquitin cycle)|GO:0008270(zinc ion binding)|GO:0016874(ligase activity)|GO:0046872(metal ion binding)	"Homo sapiens tripartite motif-containing 32 (TRIM32), mRNA [NM_012210]"	chr9:118502293-118502352	hs|9q33.1
A_23_P112327	NM_014582	NM_014582	NM_014582	Hs.567489	29991	OBP2A	odorant binding protein 2A	ENST00000371776	NP174944	GO:0005215(transporter activity)|GO:0005488(binding)|GO:0005549(odorant binding)|GO:0005575(cellular_component)|GO:0006810(transport)|GO:0007608(sensory perception of smell)|GO:0050896(response to stimulus)	"Homo sapiens odorant binding protein 2A (OBP2A), mRNA [NM_014582]"	chr9:137580413-137580472	hs|9q34.3
A_23_P112341	NM_024945	NM_024945	NM_024945	Hs.284137	80010	RMI1	"RMI1, RecQ mediated genome instability 1, homolog (S. cerevisiae)"	ENST00000348592	THC2462880	GO:0003676(nucleic acid binding)|GO:0005634(nucleus)	"Homo sapiens RMI1, RecQ mediated genome instability 1, homolog (S. cerevisiae) (RMI1), mRNA [NM_024945]"	chr9:85808665-85808725	hs|9q21.32
A_23_P11237	NM_004606	NM_004606	NM_004606	Hs.158560	6872	TAF1	"TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa"	ENST00000276072	NP1175335	"GO:0000080(G1 phase of mitotic cell cycle)|GO:0000166(nucleotide binding)|GO:0003677(DNA binding)|GO:0004402(histone acetyltransferase activity)|GO:0004674(protein serine/threonine kinase activity)|GO:0005515(protein binding)|GO:0005524(ATP binding)|GO:0005634(nucleus)|GO:0005669(transcription factor TFIID complex)|GO:0006350(transcription)|GO:0006352(transcription initiation)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0007049(cell cycle)|GO:0016301(kinase activity)|GO:0016740(transferase activity)|GO:0046777(protein amino acid autophosphorylation)"	"Homo sapiens TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa (TAF1), transcript variant 1, mRNA [NM_004606]"	chrX:70597270-70597329	hs|Xq13.1
A_23_P112397	NM_018998	NM_018998	NM_018998	Hs.522507	54461	FBXW5	F-box and WD-40 domain protein 5	ENST00000325285	THC2745259	GO:0005515(protein binding)|GO:0006512(ubiquitin cycle)	"Homo sapiens F-box and WD-40 domain protein 5 (FBXW5), mRNA [NM_018998]"	chr9:138955143-138955084	hs|9q34.3
A_23_P112406	NM_012087	NM_012087	NM_012087	Hs.495417	9328	GTF3C5	"general transcription factor IIIC, polypeptide 5, 63kDa"	ENST00000372108	THC2470226	GO:0000127(transcription factor TFIIIC complex)|GO:0003677(DNA binding)|GO:0003709(RNA polymerase III transcription factor activity)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006383(transcription from RNA polymerase III promoter)	"Homo sapiens general transcription factor IIIC, polypeptide 5, 63kDa (GTF3C5), mRNA [NM_012087]"	chr9:134923333-134923392	hs|9q34.2
A_23_P112412	NM_017746	NM_017746	NM_017746	Hs.494648	54881	TEX10	testis expressed sequence 10	ENST00000374902	THC2468639	GO:0005386(carrier activity)|GO:0005615(extracellular space)|GO:0005634(nucleus)|GO:0006810(transport)|GO:0016020(membrane)|GO:0016021(integral to membrane)	"Homo sapiens testis expressed sequence 10 (TEX10), mRNA [NM_017746]"	chr9:102104391-102104332	hs|9q31.1
A_23_P112429	NM_007209	NM_007209	NM_007209	Hs.182825	11224	RPL35	ribosomal protein L35	ENST00000348462	THC2567561	GO:0003729(mRNA binding)|GO:0003735(structural constituent of ribosome)|GO:0005622(intracellular)|GO:0005730(nucleolus)|GO:0005840(ribosome)|GO:0005842(cytosolic large ribosomal subunit (sensu the Eukaryota research community))|GO:0006412(translation)	"Homo sapiens ribosomal protein L35 (RPL35), mRNA [NM_007209]"	chr9:126663529-126662316	hs|9q33.3
A_23_P11244	NM_022368	NM_022368	NM_022368	Hs.522679	64219	PJA1	praja 1	ENST00000374583	THC2461520	GO:0005515(protein binding)|GO:0006512(ubiquitin cycle)|GO:0008270(zinc ion binding)|GO:0016874(ligase activity)|GO:0046872(metal ion binding)	"Homo sapiens praja 1 (PJA1), transcript variant 3, mRNA [NM_022368]"	chrX:68297574-68297515	hs|Xq13.1
A_23_P112452	NR_003191	NR_003191	NR_003191	Hs.97469	2681	GGTA1	"glycoprotein, alpha-galactosyltransferase 1"		THC2602400		"Homo sapiens glycoprotein, alpha-galactosyltransferase 1 (GGTA1) on chromosome 9 [NR_003191]"	chr9:123257318-123257259	hs|9q33.2
A_23_P112470	NM_002989	NM_002989	NM_002989	Hs.57907	6366	CCL21	chemokine (C-C motif) ligand 21	ENST00000259607	THC2463421	GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0006935(chemotaxis)|GO:0006954(inflammatory response)|GO:0006955(immune response)|GO:0007165(signal transduction)|GO:0007267(cell-cell signaling)|GO:0008009(chemokine activity)	"Homo sapiens chemokine (C-C motif) ligand 21 (CCL21), mRNA [NM_002989]"	chr9:34699812-34699659	hs|9p13.3
A_23_P112478	NM_001161	NM_001161	NM_001161	Hs.493767	318	NUDT2	nudix (nucleoside diphosphate linked moiety X)-type motif 2	ENST00000379158	THC2613832	"GO:0004081(bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity)|GO:0006139(nucleobase, nucleoside, nucleotide and nucleic acid metabolic process)|GO:0006917(induction of apoptosis)|GO:0008803(bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity)|GO:0016787(hydrolase activity)"	"Homo sapiens nudix (nucleoside diphosphate linked moiety X)-type motif 2 (NUDT2), transcript variant 1, mRNA [NM_001161]"	chr9:34333183-34333242	hs|9p13.3
A_23_P112481	NM_004925	NM_004925	NM_004925	Hs.234642	360	AQP3	aquaporin 3 (Gill blood group)	ENST00000297991	THC2639392	GO:0005215(transporter activity)|GO:0005624(membrane fraction)|GO:0005887(integral to plasma membrane)|GO:0006810(transport)|GO:0006833(water transport)|GO:0007588(excretion)|GO:0015250(water channel activity)|GO:0016020(membrane)|GO:0016323(basolateral plasma membrane)	"Homo sapiens aquaporin 3 (Gill blood group) (AQP3), mRNA [NM_004925]"	chr9:33431624-33431565	hs|9p13.3
A_23_P112482	NM_004925	NM_004925	NM_004925	Hs.234642	360	AQP3	aquaporin 3 (Gill blood group)	ENST00000297991	THC2604824	GO:0005215(transporter activity)|GO:0005624(membrane fraction)|GO:0005887(integral to plasma membrane)|GO:0006810(transport)|GO:0006833(water transport)|GO:0007588(excretion)|GO:0015250(water channel activity)|GO:0016020(membrane)|GO:0016323(basolateral plasma membrane)	"Homo sapiens aquaporin 3 (Gill blood group) (AQP3), mRNA [NM_004925]"	chr9:33431824-33431765	hs|9p13.3
A_23_P112512	NM_033412	NM_033412	NM_033412	Hs.645492	92014	MCART1	mitochondrial carrier triple repeat 1	ENST00000377716	NP1193766	GO:0005488(binding)|GO:0005739(mitochondrion)|GO:0006810(transport)|GO:0016020(membrane)|GO:0016021(integral to membrane)	"Homo sapiens mitochondrial carrier triple repeat 1 (MCART1), mRNA [NM_033412]"	chr9:37877776-37877717	hs|9p13.2
A_23_P112531	NM_001035254	NM_001035254	NM_001035254	Hs.568044	399665	FAM102A	"family with sequence similarity 102, member A"	ENST00000344808	THC2466545		"Homo sapiens family with sequence similarity 102, member A (FAM102A), transcript variant 1, mRNA [NM_001035254]"	chr9:129743096-129743037	hs|9q34.11
A_23_P112548	NM_031219	NM_031219	NM_031219	Hs.7739	81932	HDHD3	haloacid dehalogenase-like hydrolase domain containing 3	ENST00000374180	THC2619126	GO:0008152(metabolic process)|GO:0008967(phosphoglycolate phosphatase activity)|GO:0016787(hydrolase activity)	"Homo sapiens haloacid dehalogenase-like hydrolase domain containing 3 (HDHD3), mRNA [NM_031219]"	chr9:115176575-115176516	hs|9q32
A_23_P112554	NM_001855	NM_001855	NM_001855	Hs.409034	1306	COL15A1	"collagen, type XV, alpha 1"	ENST00000375001	THC2461918	GO:0001525(angiogenesis)|GO:0005201(extracellular matrix structural constituent)|GO:0005515(protein binding)|GO:0005578(extracellular matrix (sensu the Metazoa research community))|GO:0005582(collagen type XV)|GO:0005737(cytoplasm)|GO:0006817(phosphate transport)|GO:0007155(cell adhesion)|GO:0030154(cell differentiation)	"Homo sapiens collagen, type XV, alpha 1 (COL15A1), mRNA [NM_001855]"	chr9:100872586-100872645	hs|9q22.33
A_23_P11256	NM_138703	NM_138703	NM_138703	Hs.356869	139599	MAGEE2	"melanoma antigen family E, 2"	ENST00000373359	THC2474708		"Homo sapiens melanoma antigen family E, 2 (MAGEE2), mRNA [NM_138703]"	chrX:74919987-74919928	hs|Xq13.3
A_23_P112564	NM_012281	NM_012281	NM_012281	Hs.21703	3751	KCND2	"potassium voltage-gated channel, Shal-related subfamily, member 2"	ENST00000331113	THC2472496	GO:0001508(regulation of action potential)|GO:0005249(voltage-gated potassium channel activity)|GO:0005515(protein binding)|GO:0005615(extracellular space)|GO:0006812(cation transport)|GO:0006813(potassium ion transport)|GO:0007268(synaptic transmission)|GO:0008076(voltage-gated potassium channel complex)|GO:0008270(zinc ion binding)|GO:0009986(cell surface)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0030955(potassium ion binding)|GO:0043197(dendritic spine)|GO:0046872(metal ion binding)	"Homo sapiens potassium voltage-gated channel, Shal-related subfamily, member 2 (KCND2), mRNA [NM_012281]"	chr7:120173293-120175005	hs|7q31.31
A_23_P112596	NM_001123	NM_001123	NM_001123	Hs.584739	132	ADK	adenosine kinase	ENST00000286621	THC2498556	GO:0000287(magnesium ion binding)|GO:0004001(adenosine kinase activity)|GO:0005634(nucleus)|GO:0006166(purine ribonucleoside salvage)|GO:0009156(ribonucleoside monophosphate biosynthetic process)|GO:0016301(kinase activity)|GO:0016740(transferase activity)	"Homo sapiens adenosine kinase (ADK), transcript variant ADK-short, mRNA [NM_001123]"	chr10:76099976-76138086	hs|10q22.2
A_23_P1126	NM_017526	NM_017526	NM_017526	Hs.23581	54741	LEPROT	leptin receptor overlapping transcript	ENST00000371065	THC2466421	GO:0003674(molecular_function)|GO:0005887(integral to plasma membrane)|GO:0008150(biological_process)|GO:0016020(membrane)	"Homo sapiens leptin receptor overlapping transcript (LEPROT), mRNA [NM_017526]"	chr1:65670640-65670699	hs|1p31.3
A_23_P112602	NM_018207	NM_018207	NM_018207	Hs.404997	55223	TRIM62	tripartite motif-containing 62	ENST00000291416	THC2464976	GO:0005515(protein binding)|GO:0005622(intracellular)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)	"Homo sapiens tripartite motif-containing 62 (TRIM62), mRNA [NM_018207]"	chr1:33383681-33383622	hs|1p35.1
A_23_P112613	ENST00000356126		AK095141	Hs.646575	5718	PSMD12	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 12"	ENST00000356126	THC2532333	GO:0005829(cytosol)|GO:0005838(proteasome regulatory particle (sensu the Eukaryota research community))	26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit p55). [Source:Uniprot/SWISSPROT;Acc:O00232] [ENST00000356126]	chr17:62764840-62764781	hs|17q24.2
A_23_P11262	NM_012151	NM_012151	NM_012151	Hs.533543	8263	F8A1	coagulation factor VIII-associated (intronic transcript) 1	ENST00000369446	THC2461105	GO:0003674(molecular_function)|GO:0005575(cellular_component)|GO:0005634(nucleus)|GO:0008150(biological_process)	"Homo sapiens coagulation factor VIII-associated (intronic transcript) 1 (F8A1), mRNA [NM_012151]"	chrX:153769414-153769473	hs|Xq28
A_23_P112634	NM_174921	NM_174921	NM_174921	Hs.576320	201895	C4orf34	chromosome 4 open reading frame 34	ENST00000381829	THC2461238	GO:0005515(protein binding)|GO:0016020(membrane)|GO:0016021(integral to membrane)	"Homo sapiens chromosome 4 open reading frame 34 (C4orf34), mRNA [NM_174921]"	chr4:39229716-39229657	hs|4p14
A_23_P112646	NM_020469	NM_020469	NM_020469	Hs.561993	28	ABO	"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)"	ENST00000319858	THC2622404	"GO:0004380(glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase activity)|GO:0004381(fucosylgalactoside 3-alpha-galactosyltransferase activity)|GO:0005575(cellular_component)|GO:0005576(extracellular region)|GO:0005975(carbohydrate metabolic process)|GO:0006486(protein amino acid glycosylation)|GO:0009058(biosynthetic process)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016758(transferase activity, transferring hexosyl groups)|GO:0030145(manganese ion binding)|GO:0030173(integral to Golgi membrane)|GO:0046872(metal ion binding)"	"Homo sapiens ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase) (ABO), mRNA [NM_020469]"	chr9:135122649-135121538	hs|9q34.2
A_23_P112652	NM_015442	NM_015442	NM_015442	Hs.444851	25904	CNOT10	"CCR4-NOT transcription complex, subunit 10"	ENST00000328834	THC2683843	GO:0005488(binding)	"Homo sapiens CCR4-NOT transcription complex, subunit 10 (CNOT10), mRNA [NM_015442]"	chr3:32790150-32790209	hs|3p22.3
A_23_P112666	NM_012186	NM_012186	NM_012186	Hs.112968	2301	FOXE3	forkhead box E3	ENST00000371869	THC2480777	"GO:0001654(eye development)|GO:0003700(transcription factor activity)|GO:0005634(nucleus)|GO:0005667(transcription factor complex)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0006366(transcription from RNA polymerase II promoter)|GO:0007275(multicellular organismal development)|GO:0043565(sequence-specific DNA binding)|GO:0048468(cell development)|GO:0050679(positive regulation of epithelial cell proliferation)"	"Homo sapiens forkhead box E3 (FOXE3), mRNA [NM_012186]"	chr1:47656101-47656160	hs|1p33
A_23_P112673	NM_017975	NM_017975	NM_017975	Hs.21331	55055	ZWILCH	"Zwilch, kinetochore associated, homolog (Drosophila)"	ENST00000307897	THC2716775	GO:0000776(kinetochore)	"Homo sapiens Zwilch, kinetochore associated, homolog (Drosophila) (ZWILCH), transcript variant 1, mRNA [NM_017975]"	chr15:64619546-64625985	hs|15q22.31
A_23_P112698	NM_007257	NM_007257	NM_007257	Hs.591838	10687	PNMA2	paraneoplastic antigen MA2	ENST00000305426	THC2473786	GO:0005215(transporter activity)|GO:0005634(nucleus)|GO:0006810(transport)|GO:0016020(membrane)	"Homo sapiens paraneoplastic antigen MA2 (PNMA2), mRNA [NM_007257]"	chr8:26421649-26421590	hs|8p21.2
A_23_P112726	NM_002977	NM_002977	NM_002977	Hs.2319	6335	SCN9A	"sodium channel, voltage-gated, type IX, alpha"	ENST00000303354	THC2479285	GO:0001518(voltage-gated sodium channel complex)|GO:0005248(voltage-gated sodium channel activity)|GO:0005624(membrane fraction)|GO:0006811(ion transport)|GO:0006814(sodium ion transport)|GO:0016020(membrane)|GO:0031402(sodium ion binding)	"Homo sapiens sodium channel, voltage-gated, type IX, alpha (SCN9A), mRNA [NM_002977]"	chr2:166763329-166763270	hs|2q24.3
A_23_P112774	NM_032611	NM_032611	NM_032611	Hs.43666	11156	PTP4A3	"protein tyrosine phosphatase type IVA, member 3"	ENST00000329397	THC2463792	GO:0004727(prenylated protein tyrosine phosphatase activity)|GO:0006470(protein amino acid dephosphorylation)|GO:0008138(protein tyrosine/serine/threonine phosphatase activity)|GO:0016020(membrane)|GO:0016787(hydrolase activity)	"Homo sapiens protein tyrosine phosphatase type IVA, member 3 (PTP4A3), transcript variant 1, mRNA [NM_032611]"	chr8:142510615-142510674	hs|8q24.3
A_23_P11279	NM_018466	NM_018466	NM_018466	Hs.110853	55849	ALG13	asparagine-linked glycosylation 13 homolog (S. cerevisiae)	ENST00000371979	THC2507756	"GO:0005975(carbohydrate metabolic process)|GO:0016758(transferase activity, transferring hexosyl groups)|GO:0030246(carbohydrate binding)|GO:0030259(lipid glycosylation)"	"Homo sapiens asparagine-linked glycosylation 13 homolog (S. cerevisiae) (ALG13), mRNA [NM_018466]"	chrX:110814986-110817828	hs|Xq23
A_23_P112798	NM_001312	NM_001312	NM_001312	Hs.534309	1397	CRIP2	cysteine-rich protein 2	ENST00000329146	NP1154582	GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)	"Homo sapiens cysteine-rich protein 2 (CRIP2), mRNA [NM_001312]"	chr14:105016851-105017002	hs|14q32.33
A_23_P112801	NM_007236	NM_007236	NM_007236	Hs.406234	11261	CHP	calcium binding protein P22	ENST00000334660	NP1075687	GO:0005509(calcium ion binding)|GO:0006813(potassium ion transport)|GO:0007264(small GTPase mediated signal transduction)|GO:0015459(potassium channel regulator activity)	"Homo sapiens calcium binding protein P22 (CHP), mRNA [NM_007236]"	chr15:39361271-39361330	hs|15q15.1
A_23_P112820	NM_005226	NM_005226	NM_005226	Hs.585118	1903	EDG3	"endothelial differentiation, sphingolipid G-protein-coupled receptor, 3"	ENST00000358157	THC2591908	"GO:0001619(lysosphingolipid and lysophosphatidic acid receptor activity)|GO:0004872(receptor activity)|GO:0005524(ATP binding)|GO:0005886(plasma membrane)|GO:0005887(integral to plasma membrane)|GO:0006818(hydrogen transport)|GO:0006954(inflammatory response)|GO:0007165(signal transduction)|GO:0007186(G-protein coupled receptor protein signaling pathway)|GO:0007193(G-protein signaling, adenylate cyclase inhibiting pathway)|GO:0007204(elevation of cytosolic calcium ion concentration)|GO:0008284(positive regulation of cell proliferation)|GO:0008289(lipid binding)|GO:0008553(hydrogen-exporting ATPase activity, phosphorylative mechanism)|GO:0009653(anatomical structure morphogenesis)"	"Homo sapiens endothelial differentiation, sphingolipid G-protein-coupled receptor, 3 (EDG3), mRNA [NM_005226]"	chr9:90806213-90806272	hs|9q22.1
